case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
10100392646,2203,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU120,SW,1
9,UNIVERSIT,Waste Pickup,rdue,,,,
,"Y, ",,,,,,
,HOUSTON ,,,,,,
,77030,,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
10100392727,6007,Missed ,SW_Overdue,THURSDAY,SWTH109,SW,1
3,"BENNING, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77096,,,,,,
10100392702,6413 OLD ,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH105,SW,1
9,"CHATHAM, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100393249,4011 C ,Container ,SW_Not_Ove,TUESDAY,SWTU104,SW,1
2,"LANARK, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77025,,,,,,
10100393237,9602,Missed ,SW_Not_Ove,MONDAY,SWMO116,SW,1
9,MEADOWBR,Recycling ,rdue,,,,
,"IAR, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77063,,,,,,
10100393219,7714 LACY ,Missed ,SW_Not_Ove,TUESDAY,SWTU108,SW,1
3,"HILL, ",Garbage ,rdue,,,,
,HOUSTON ,Pickup,,,,,
,77036,,,,,,
10100392449,4950,Container ,SW_Not_Ove,TUESDAY,SWTU101,SW,1
6,"VALKEITH, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392703,4911,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU101,SW,1
6,"DUMFRIES, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392610,5410,Missed Yard ,SW_Overdue,TUESDAY,SWTU102,SW,1
0,"WIGTON, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392712,12410 N ,Missed ,SW_Overdue,THURSDAY,SWTH103,SW,1
1,"RACHLIN, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77071,,,,,,
10100378429,3211,Missed ,SW_Overdue,MONDAY,SWMO116,SW,1
2,TANGLEWIL,Garbage ,,,,,
,"DE, ",Pickup,,,,,
,HOUSTON ,,,,,,
,TX 77063,,,,,,
10100392786,2308,Container ,SW_Not_Ove,TUESDAY,SWTU121,SW,1
7,SOUTHGAT,Problem,rdue,,,,
,"E, ",,,,,,
,HOUSTON ,,,,,,
,77030,,,,,,
10100392337,9615,Missed Yard ,SW_Overdue,THURSDAY,SWTH101,SW,1
7,RAVENSWO,Waste Pickup,,,,,
,"RTH, ",,,,,,
,HOUSTON ,,,,,,
,77031,,,,,,
394501-,8053 W ,Trash ,SW_Not_Ove,THURSDAY,SWTH104,SW,1
10100393071,"AIRPORT, ",Dumping or ,rdue,,,,
9,HOUSTON ,Illegal ,,,,,
,77071,Dumpsite,,,,,
10100390443,8934,Recycling ,SW_Overdue,TUESDAY,SWTU108,SW,1
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
5,"CONCHO, ",Cart Repair ,,,,,
,HOUSTON ,or Replace,,,,,
,77036,,,,,,
10100392820,10814,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH107,SW,1
1,BRAES ,Waste Pickup,rdue,,,,
,"BAYOU, ",,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100392823,7602,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH107,SW,1
2,"PORTAL, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392201,7623,Missed Yard ,SW_Overdue,THURSDAY,SWTH107,SW,1
4,ROLLINGBR,Waste Pickup,,,,,
,"OOK, ",,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100390881,6138,Add A Can,SW_Overdue,FRIDAY,SWFR112,SW,1
4,HEATHERB,,,,,,
,"LOOM, ",,,,,,
,HOUSTON ,,,,,,
,77085,,,,,,
10100365213,4107,Miss ,,FRIDAY,SWFR115,SW,1
5,"GOULBURN, ",Complaint,,,,,
,HOUSTON ,,,,,,
,TX 77045,,,,,,
10100393209,4102,Missed Heavy ,SW_Not_Ove,FRIDAY,SWFR115,SW,1
3,"GOULBURN, ",Trash Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100392771,11514,Missed ,SW_Overdue,THURSDAY,SWTH111,SW,1
4,"ASHCROFT, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77035,,,,,,
10100393076,3626,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH118,SW,1
3,"ELMRIDGE, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77025,,,,,,
10100393204,10610,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH113,SW,1
1,"ENDICOTT, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100392540,5802 W ,Missed ,SW_Overdue,THURSDAY,SWTH111,SW,1
3,"AIRPORT, ",Recycling ,,,,,
,HOUSTON ,Pickup,,,,,
,77035,,,,,,
10100392983,4018,Missed Yard ,SW_Not_Ove,FRIDAY,SWFR116,SW,1
7,WOODMONT,Waste Pickup,rdue,,,,
,", HOUSTON ",,,,,,
,77045,,,,,,
10100392003,16734 LOST ,Container ,SW_Overdue,FRIDAY,SWFR101,SW,1
1,"QUAIL, ",Problem,,,,,
,HOUSTON ,,,,,,
,77489,,,,,,
10100392891,16018,Missed ,SW_Not_Ove,FRIDAY,SWFR108,SW,1
6,BUNKER ,Garbage ,rdue,,,,
,"RIDGE, ",Pickup,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,HOUSTON ,,,,,,
,77053,,,,,,
10100393012,12607,Container ,SW_Not_Ove,THURSDAY,SWTH110,SW,1
7,"ASHCROFT, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100393260,5834,Container ,SW_Not_Ove,THURSDAY,SWTH110,SW,1
6,"FARWELL, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100393033,5515,Container ,SW_Not_Ove,THURSDAY,SWTH112,SW,1
3,BRIARBEND,Problem,rdue,,,,
,", HOUSTON ",,,,,,
,77096,,,,,,
10100392149,10702,Missed Yard ,SW_Overdue,THURSDAY,SWTH112,SW,1
2,"RAMPART, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392662,5719,Missed ,SW_Overdue,THURSDAY,SWTH112,SW,1
3,WILLOWBE,Garbage ,,,,,
,"ND, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100389032,3802,Missed Heavy ,SW_Overdue,FRIDAY,SWFR116,SW,1
1,"EBBTIDE, ",Trash Pickup,,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100392882,"12310 SILO, ",Missed ,SW_Not_Ove,THURSDAY,SWTH103,SW,1
6,HOUSTON ,Garbage ,rdue,,,,
,77071,Pickup,,,,,
10100392917,12318,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH103,SW,1
9,VALLEY ,Waste Pickup,rdue,,,,
,"HILLS, ",,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100392979,12307,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH103,SW,1
1,VALLEY ,Waste Pickup,rdue,,,,
,"HILLS, ",,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100393259,Intersection ,Trash ,SW_Not_Ove,THURSDAY,SWTH103,SW,1
4,7930 W ,Dumping or ,rdue,,,,
,AIRPORT ,Illegal ,,,,,
,BLVD&12400 ,Dumpsite,,,,,
,RIVA RIDGE ,,,,,,
,LN,,,,,,
10100393040,6806 W ,Container ,SW_Not_Ove,FRIDAY,SWFR105,SW,1
4,"FUQUA, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77489,,,,,,
10100393180,6834,Dead Animal ,SW_Not_Ove,FRIDAY,SWFR105,SW,1
9,CASTLEVIE,Collection,rdue,,,,
,"W, ",,,,,,
,HOUSTON ,,,,,,
,77489,,,,,,
10100392128,6618,Missed ,SW_Overdue,FRIDAY,SWFR105,SW,1
2,"ROWELL, ",Recycling ,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,HOUSTON ,Pickup,,,,,
,77489,,,,,,
10100392744,6814 W ,Missed ,SW_Overdue,FRIDAY,SWFR105,SW,1
8,"FUQUA, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77489,,,,,,
10100392713,5702,Container ,SW_Not_Ove,FRIDAY,SWFR110,SW,1
3,"MAYWOOD, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
10100392862,5706,Missed ,SW_Overdue,FRIDAY,SWFR110,SW,1
4,"MAYWOOD, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77053,,,,,,
10100388653,3706,Add A Can ,SW_Overdue,FRIDAY,SWFR115,SW,1
7,"GOULBURN, ",CANCELLAT,,,,,
,HOUSTON ,ION,,,,,
,77045,,,,,,
10100392312,10822,Missed Yard ,SW_Overdue,THURSDAY,SWTH116,SW,1
6,"WILLOWISP, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100392745,9307,Missed ,SW_Overdue,THURSDAY,SWTH117,SW,1
1,WOODMEAD,Garbage ,,,,,
,"OW, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77025,,,,,,
10100393145,5318,Dead Animal ,SW_Not_Ove,FRIDAY,SWFR113,SW,1
0,DARLINGH,Collection,rdue,,,,
,"URST, ",,,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100392717,5710,Missed ,SW_Overdue,FRIDAY,SWFR112,SW,1
7,BRIDLINGT,Recycling ,,,,,
,"ON, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77085,,,,,,
10100393233,10911,Recycling ,SW_Not_Ove,THURSDAY,SWTH112,SW,1
8,"ATWELL, ",Cart Repair ,rdue,,,,
,HOUSTON ,or Replace,,,,,
,77096,,,,,,
10100392168,10911,Missed Yard ,SW_Overdue,THURSDAY,SWTH112,SW,1
7,"ATWELL, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392717,"317 S 72ND, ",Recycling ,SE_Not_Over,MONDAY,SEMO113,SE,1
1,HOUSTON ,Cart Repair ,due,,,,
,77011,or Replace,,,,,
10100393118,326,Missed ,SE_Not_Over,MONDAY,SEMO113,SE,1
0,BALDINGER,Recycling ,due,,,,
,", HOUSTON ",Pickup,,,,,
,77011,,,,,,
10100393145,Intersection ,Dead Animal ,SW_Not_Ove,FRIDAY,SWFR112,SW,1
9,14400,Collection,rdue,,,,
,CROQUET ,,,,,,
,LN&6100 ,,,,,,
,NEWQUAY ,,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,ST,,,,,,
10100393036,5138,Missed Yard ,SW_Not_Ove,FRIDAY,SWFR112,SW,1
6,RIPPLEBRO,Waste Pickup,rdue,,,,
,"OK, ",,,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100392865,12930,Missed ,SW_Overdue,FRIDAY,SWFR122,SW,1
7,FENLAND ,Garbage ,,,,,
,"FIELD, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77047,,,,,,
10100392759,4302,Missed ,SW_Overdue,THURSDAY,SWTH114,SW,1
0,"SANFORD, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77035,,,,,,
10100392817,4557,Missed ,SW_Overdue,THURSDAY,SWTH114,SW,1
2,"SANFORD, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77035,,,,,,
10100393135,16114,Add A Can,SW_Not_Ove,FRIDAY,SWFR106,SW,1
4,ROSENRIDG,,rdue,,,,
,"E, ",,,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
10100392829,14531,Container ,SW_Not_Ove,FRIDAY,SWFR115,SW,1
7,"QUENTION, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100393067,"4410 OSBY, ",Missed Yard ,SW_Not_Ove,THURSDAY,SWTH117,SW,1
6,HOUSTON ,Waste Pickup,rdue,,,,
,77096,,,,,,
10100393216,9711,Missed Heavy ,SW_Not_Ove,THURSDAY,SWTH117,SW,1
0,GREENWILL,Trash Pickup,rdue,,,,
,"OW, ",,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392696,12438,Missed ,SW_Overdue,THURSDAY,SWTH103,SW,1
1,WINDY ,Garbage ,,,,,
,"WISP, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100392752,12434 S ,Missed ,SW_Overdue,THURSDAY,SWTH103,SW,1
4,"GARDEN, ",Garbage ,,,,,
,HOUSTON ,Pickup,,,,,
,77071,,,,,,
10100391936,13115,Recycling ,SW_Overdue,FRIDAY,SWFR122,SW,1
4,REMME ,Cart Repair ,,,,,
,"RIDGE, ",or Replace,,,,,
,HOUSTON ,,,,,,
,77047,,,,,,
10100392511,16319,Missed ,SW_Overdue,FRIDAY,SWFR107,SW,1
4,BUNKER ,Recycling ,,,,,
,"RIDGE, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
10100392531,16307,Missed ,SW_Overdue,FRIDAY,SWFR107,SW,1
6,BUNKER ,Recycling ,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,"RIDGE, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
10100392979,1311,Container ,SE_Not_Over,MONDAY,SEMO105,SE,1
4,"DISMUKE, ",Problem,due,,,,
,HOUSTON ,,,,,,
,77023,,,,,,
10100393252,4126,Missed Heavy ,SW_Not_Ove,FRIDAY,SWFR120,SW,1
4,KNOTTY ,Trash Pickup,rdue,,,,
,"OAKS, ",,,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100392921,5255,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH113,SW,1
5,KINGFISHE,Waste Pickup,rdue,,,,
,"R, ",,,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100392580,5711,Missed Yard ,SW_Overdue,THURSDAY,SWTH112,SW,1
3,"SPELLMAN, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392896,2835,Missed ,SW_Not_Ove,FRIDAY,SWFR118,SW,1
7,KNOTTY ,Garbage ,rdue,,,,
,"OAKS, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100392863,2822,Missed ,SW_Overdue,FRIDAY,SWFR118,SW,1
5,KNOTTY ,Garbage ,,,,,
,"OAKS, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77045,,,,,,
10100388875,"6649 PARK, ",Recycling ,SE_Overdue,MONDAY,SEMO105,SE,1
1,HOUSTON ,Cart Repair ,,,,,
,77023,or Replace,,,,,
10100392886,2719,Missed ,SW_Not_Ove,FRIDAY,SWFR118,SW,1
3,STEELHEAD,Garbage ,rdue,,,,
,", HOUSTON ",Pickup,,,,,
,77045,,,,,,
10100392933,2643,Missed ,SW_Not_Ove,FRIDAY,SWFR118,SW,1
0,STEELHEAD,Garbage ,rdue,,,,
,", HOUSTON ",Pickup,,,,,
,77045,,,,,,
10100392860,"2726 UMIAK, ",Missed ,SW_Overdue,FRIDAY,SWFR118,SW,1
9,HOUSTON ,Garbage ,,,,,
,77045,Pickup,,,,,
10100393100,6507,Container ,SW_Not_Ove,FRIDAY,SWFR106,SW,1
5,MARINWOO,Problem,rdue,,,,
,"D, ",,,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
393049-,7215 S SAM ,Trash ,SW_Not_Ove,FRIDAY,SWFR105,SW,1
10100390830,HOUSTON ,Dumping or ,rdue,,,,
8,"W, ",Illegal ,,,,,
,HOUSTON ,Dumpsite,,,,,
,77489,,,,,,
10100392857,4763,Container ,SW_Not_Ove,FRIDAY,SWFR109,SW,1
3,BEECHAVE,Problem,rdue,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,"N, ",,,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
10100392044,4822,Container ,SW_Overdue,FRIDAY,SWFR109,SW,1
5,BEECHAVE,Problem,,,,,
,"N, ",,,,,,
,HOUSTON ,,,,,,
,77053,,,,,,
10100392071,4706,Missed ,SW_Overdue,FRIDAY,SWFR109,SW,1
5,"RIDGEMAR, ",Recycling ,,,,,
,HOUSTON ,Pickup,,,,,
,77053,,,,,,
10100392995,7635 S GLEN ,Missed Yard ,SW_Not_Ove,THURSDAY,SWTH120,SW,1
8,"WILLOW, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77489,,,,,,
10100392878,5522,Missed ,SW_Not_Ove,THURSDAY,SWTH111,SW,1
6,"DUXBURY, ",Recycling ,rdue,,,,
,HOUSTON ,Pickup,,,,,
,77035,,,,,,
10100393026,12210,Missed ,SW_Not_Ove,THURSDAY,SWTH111,SW,1
8,CHIMNEY ,Recycling ,rdue,,,,
,"ROCK, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100392995,"5527 DRYAD, ",SWM ,SW_Overdue,THURSDAY,SWTH111,SW,1
7,HOUSTON ,Escalation,,,,,
,77035,,,,,,
10100392914,9423,Recycling ,SW_Not_Ove,MONDAY,SWMO116,SW,1
0,"FAIRDALE, ",Cart Repair ,rdue,,,,
,HOUSTON ,or Replace,,,,,
,77063,,,,,,
10100392267,7439,New Move In ,SW_Not_Ove,FRIDAY,SWFR103,SW,1
4,"MACZALI, ",Service,rdue,,,,
,HOUSTON ,,,,,,
,77489,,,,,,
10100392856,4806,Container ,SW_Not_Ove,THURSDAY,SWTH114,SW,1
1,KINGFISHE,Problem,rdue,,,,
,"R, ",,,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100392746,4705,Missed ,SW_Overdue,THURSDAY,SWTH114,SW,1
8,HUMMINGB,Garbage ,,,,,
,"IRD, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77035,,,,,,
10100393204,"7403 BAHIA, ",Missed Heavy ,SW_Not_Ove,FRIDAY,SWFR103,SW,1
3,HOUSTON ,Trash Pickup,rdue,,,,
,77489,,,,,,
10100389015,6816,Missed Heavy ,SE_Overdue,MONDAY,SEMO108,SE,1
1,"SHERMAN, ",Trash Pickup,,,,,
,HOUSTON ,,,,,,
,77011,,,,,,
10100393275,5122,Container ,SE_Not_Over,MONDAY,SEMO106,SE,1
3,"MULFORD, ",Problem,due,,,,
,HOUSTON ,,,,,,
,77023,,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
10100393282,5242,Recycling ,SE_Not_Over,MONDAY,SEMO106,SE,1
6,CLAREMON,Cart Repair ,due,,,,
,"T, ",or Replace,,,,,
,HOUSTON ,,,,,,
,77023,,,,,,
10100393259,"3407 TEXAS, ",Recycling ,SE_Not_Over,MONDAY,SEMO103,SE,1
9,HOUSTON ,Cart Repair ,due,,,,
,77003,or Replace,,,,,
10100390727,"4342 PEASE, ",Recycling ,SE_Overdue,MONDAY,SEMO104,SE,1
7,HOUSTON ,Cart Repair ,,,,,
,77023,or Replace,,,,,
10100388793,"403 AXILDA, ",Missed Heavy ,SE_Overdue,MONDAY,SEMO120,SE,1
4,HOUSTON ,Trash Pickup,,,,,
,77017,,,,,,
10100388861,1003,Missed Heavy ,SE_Overdue,MONDAY,SEMO120,SE,1
7,"AXILDA, ",Trash Pickup,,,,,
,HOUSTON ,,,,,,
,77017,,,,,,
10100389058,"5206 CLAY, ",Missed Heavy ,SE_Overdue,MONDAY,SEMO106,SE,1
6,HOUSTON ,Trash Pickup,,,,,
,77023,,,,,,
10100393038,6522,Recycling ,SE_Not_Over,MONDAY,SEMO106,SE,1
4,COUNTRY ,Cart Repair ,due,,,,
,"CLUB, ",or Replace,,,,,
,HOUSTON ,,,,,,
,77023,,,,,,
10100393272,Intersection ,Dead Animal ,SE_Not_Over,MONDAY,SEMO120,SE,1
3,700 ALLEN ,Collection,due,,,,
